"Year and month","Level As revised","Level As previously published","Level Difference","Over-the-month change As revised","Over-the-month change As previously published","Over-the-month change Difference"
"January 2024",157049,157560,-511,119,256,-137
"February 2024",157271,157796,-525,222,236,-14
"March 2024",157517,158106,-589,246,310,-64
"April 2024",157635,158214,-579,118,139,-21
"May 2024",157822,158430,-602,193,216,-23
"June 2024",157915,158548,-633,93,116,-23
"July 2024",158003,158692,-689,88,144,-56
"August 2024",158074,158770,-696,71,78,-7
"September 2024",158314,159025,-711,240,255,-15
"October 2024",158358,159068,-710,44,43,1
"November 2024",158619,159280,-661,261,212,49
"December(p) 2024",158926,159536,-610,307,256,51
